ID|GUID|History
153|b3e3e393c77e35a4a3f3cbd1e429b5dc|"2020-10-11 18:00:04 , created via export from SQMS1"
154|1d7f7abc18fcb43975065399b0d1e48e|"2020-10-11 18:00:04 , created via export from SQMS1"
155|2a79ea27c279e471f4d180b08d62b00a|"2020-10-11 18:00:04 , created via export from SQMS1"
156|1c9ac0159c94d8d0cbedc973445af2da|"2020-10-11 18:00:04 , created via export from SQMS1"
157|6c4b761a28b734fe93831e3fb400ce87|"2020-10-11 18:00:04 , created via export from SQMS1"
158|06409663226af2f3114485aa4e0a23b4|"2020-10-11 18:00:04 , created via export from SQMS1"
159|140f6969d5213fd0ece03148e62e461e|"2020-10-11 18:00:04 , created via export from SQMS1"
160|b73ce398c39f506af761d2277d853a92|"2020-10-11 18:00:04 , created via export from SQMS1"
161|bd4c9ab730f5513206b999ec0d90d1fb|"2020-10-11 18:00:04 , created via export from SQMS1"
162|82aa4b0af34c2313a562076992e50aa3|"2020-10-11 18:00:04 , created via export from SQMS1"
163|0777d5c17d4066b82ab86dff8a46af6f|"2020-10-11 18:00:04 , created via export from SQMS1"
164|fa7cdfad1a5aaf8370ebeda47a1ff1c3|"2020-10-11 18:00:04 , created via export from SQMS1"
165|9766527f2b5d3e95d4a733fcfb77bd7e|"2020-10-11 18:00:04 , created via export from SQMS1"
166|7e7757b1e12abcb736ab9a754ffb617a|"2020-10-11 18:00:04 , created via export from SQMS1"
167|5878a7ab84fb43402106c575658472fa|"2020-10-11 18:00:04 , created via export from SQMS1"
168|006f52e9102a8d3be2fe5614f42ba989|"2020-10-11 18:00:04 , created via export from SQMS1"
169|3636638817772e42b59d74cff571fbb3|"2020-10-11 18:00:04 , created via export from SQMS1"
170|149e9677a5989fd342ae44213df68868|"2020-10-11 18:00:04 , created via export from SQMS1"
171|a4a042cf4fd6bfb47701cbc8a1653ada|"2020-10-11 18:00:04 , created via export from SQMS1"
172|1ff8a7b5dc7a7d1f0ed65aaa29c04b1e|"2020-10-11 18:00:04 , created via export from SQMS1"
173|f7e6c85504ce6e82442c770f7c8606f0|"2020-10-11 18:00:04 , created via export from SQMS1"
174|bf8229696f7a3bb4700cfddef19fa23f|"2020-10-11 18:00:04 , created via export from SQMS1"
